property_id,address,city,province,property_type,bedrooms,bathrooms,parking_spaces,size_sqm,erf_size_sqm,listing_price,listing_date,sale_date,sale_price,agent_id,status
34,"8 High Road, Mitchell's Plain",Cape Town,Western Cape,Farm,5,2,5,220,282957,6661474,2023-12-26,,,30,Withdrawn
35,"274 Church Avenue, La Lucia",Durban,KwaZulu-Natal,Townhouse,3,2,2,244,231,2373753,2025-06-18,,,32,Listed
36,"830 Station Lane, Walmer",Port Elizabeth,Eastern Cape,Farm,4,5,4,581,439630,5074920,2024-09-25,2024-10-22,5092233,3,Sold
37,"681 Beach Street, Menlyn",Pretoria,Gauteng,House,3,1,4,243,581,3730236,2024-01-20,,,10,Under Offer
38,"345 Victoria Lane, Glenwood",Durban,KwaZulu-Natal,Townhouse,4,2.5,1,213,226,1837150,2023-11-18,,,14,Under Offer
39,"736 Beach Avenue, Fourways",Johannesburg,Gauteng,Apartment,3,1.5,2,52,0,2236613,2024-02-09,,,13,Listed
40,"75 Nelson Mandela Avenue, Waterkloof",Pretoria,Gauteng,Commercial,0,2,17,1414,3886,7951207,2025-09-01,2025-12-11,7456443,35,Sold
41,"915 Nelson Mandela Road, Humewood",Port Elizabeth,Eastern Cape,House,4,2,2,270,633,2124212,2024-06-12,2024-08-20,2035863,50,Sold
42,"300 Oak Drive, Humewood",Port Elizabeth,Eastern Cape,House,2,3,4,129,1022,2951200,2024-03-03,,,35,Listed
43,"565 Main Avenue, Arcadia",Pretoria,Gauteng,Apartment,4,2,2,64,0,1988444,2025-10-12,,,12,Withdrawn
44,"423 Jan Smuts Lane, Walmer",Port Elizabeth,Eastern Cape,House,3,2,3,206,1064,2345278,2025-05-23,2025-11-18,2453755,43,Sold
45,"137 Victoria Road, Rosebank",Johannesburg,Gauteng,Apartment,3,1,2,199,0,1707317,2025-07-30,2025-10-23,1750120,9,Sold
46,"900 Oak Road, Umlazi",Durban,KwaZulu-Natal,Apartment,4,2,1,67,0,1124571,2023-12-07,,,12,Withdrawn
47,"292 Station Lane, Camps Bay",Cape Town,Western Cape,Townhouse,2,2,2,152,165,2412493,2025-05-09,,,32,Withdrawn
48,"26 High Avenue, Berea",Durban,KwaZulu-Natal,Apartment,4,1.5,1,114,0,1794593,2023-12-28,2024-05-29,1858651,29,Sold
49,"266 High Drive, Mitchell's Plain",Cape Town,Western Cape,Townhouse,4,3,1,117,222,1983034,2025-10-26,2025-11-23,2031038,16,Sold
50,"975 Park Road, Midrand",Johannesburg,Gauteng,House,4,2,1,443,1266,3723515,2024-07-27,,,4,Listed
51,"923 Beach Road, Sandton",Johannesburg,Gauteng,Apartment,2,1.5,1,166,0,3094243,2025-01-19,,,15,Listed
52,"622 Station Drive, Brooklyn",Pretoria,Gauteng,House,6,1,4,294,662,3285071,2024-09-08,2024-10-18,3115389,31,Sold
53,"243 High Lane, Bryanston",Johannesburg,Gauteng,Townhouse,3,2,1,210,340,1588918,2024-07-31,,,38,Listed
54,"305 Oak Street, Melrose",Johannesburg,Gauteng,House,3,1,3,418,868,2455216,2024-01-29,2024-02-07,2450477,2,Sold
55,"465 Long Lane, Montana",Pretoria,Gauteng,Farm,4,2,8,433,335952,4278458,2024-01-03,,,13,Listed
56,"371 Long Lane, Morningside",Durban,KwaZulu-Natal,House,4,2.5,1,143,818,2378658,2024-06-04,,,38,Under Offer
57,"488 Beach Street, Arcadia",Pretoria,Gauteng,Townhouse,3,3,2,137,188,2073781,2024-09-13,,,40,Listed
58,"585 Park Street, Newton Park",Port Elizabeth,Eastern Cape,Townhouse,4,3,1,117,362,2006847,2023-12-12,2023-12-23,1948763,14,Sold
59,"13 Market Drive, Umhlanga",Durban,KwaZulu-Natal,House,4,1,3,349,1052,2116220,2024-01-30,,,42,Listed
60,"389 Market Avenue, Montana",Pretoria,Gauteng,House,5,2,2,206,598,1970368,2024-12-01,,,43,Listed
61,"832 Victoria Road, Newton Park",Port Elizabeth,Eastern Cape,House,4,2.5,1,256,1266,2689040,2025-05-23,,,16,Under Offer
62,"183 High Avenue, Menlyn",Pretoria,Gauteng,House,4,2.5,2,244,510,3278726,2024-07-09,2024-09-17,3092749,49,Sold
63,"318 Nelson Mandela Drive, Umlazi",Durban,KwaZulu-Natal,House,4,2.5,3,189,625,2926546,2025-08-26,2025-11-13,2708537,23,Sold
64,"34 Oak Road, Arcadia",Pretoria,Gauteng,Commercial,0,5,45,1943,3541,9302673,2023-11-26,,,21,Listed
65,"67 Victoria Avenue, Sea Point",Cape Town,Western Cape,Townhouse,2,2,2,134,183,1823522,2025-01-30,,,16,Under Offer
66,"602 Jan Smuts Drive, Berea",Durban,KwaZulu-Natal,Farm,6,5,6,330,444678,3210103,2025-02-02,,,46,Under Offer
67,"27 Nelson Mandela Drive, Humewood",Port Elizabeth,Eastern Cape,House,3,2.5,3,133,1111,2897058,2024-02-14,,,7,Withdrawn
68,"140 Market Drive, Constantia",Cape Town,Western Cape,Farm,3,4,8,493,291195,8895362,2024-09-20,,,17,Listed
69,"249 Oak Avenue, Claremont",Cape Town,Western Cape,House,3,2.5,3,199,1411,5575226,2024-05-03,2024-06-15,5424169,20,Sold
70,"777 Beach Lane, Summerstrand",Port Elizabeth,Eastern Cape,Apartment,1,1,2,143,0,1244291,2025-08-28,,,17,Listed
71,"343 High Drive, Alexandra",Johannesburg,Gauteng,House,4,1,1,185,572,4060561,2025-07-16,,,33,Listed
72,"622 High Drive, Summerstrand",Port Elizabeth,Eastern Cape,House,3,4,3,344,998,1587433,2025-06-16,2025-07-14,1647280,26,Sold
73,"103 Victoria Road, Sandton",Johannesburg,Gauteng,Townhouse,2,2,1,241,371,2945641,2025-07-18,,,28,Listed
74,"355 Church Drive, Roodepoort",Johannesburg,Gauteng,House,5,2,2,274,1299,2527704,2024-03-13,,,17,Listed
75,"577 Nelson Mandela Lane, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,2,2,2,200,0,1412530,2025-08-03,2025-11-01,1391147,24,Sold
76,"879 Main Lane, Waterkloof",Pretoria,Gauteng,Farm,5,2,8,418,392513,3650973,2025-04-23,,,9,Under Offer
77,"752 Market Drive, La Lucia",Durban,KwaZulu-Natal,Commercial,0,2,30,658,2047,5864424,2023-11-26,2024-02-19,6109796,25,Sold
78,"839 High Street, Observatory",Cape Town,Western Cape,House,3,2.5,1,159,1402,3286156,2024-05-28,,,17,Listed
79,"612 Market Lane, Silverton",Pretoria,Gauteng,House,3,1,1,429,790,2926042,2025-02-01,2025-02-12,2893904,41,Sold
80,"32 Nelson Mandela Lane, Menlyn",Pretoria,Gauteng,Apartment,2,2.5,1,120,0,1591193,2025-04-19,,,14,Listed
81,"338 Main Lane, Silverton",Pretoria,Gauteng,Apartment,3,2,1,74,0,1663038,2024-05-23,,,14,Under Offer
82,"384 Church Avenue, Humewood",Port Elizabeth,Eastern Cape,House,4,2,2,409,1330,2709103,2024-06-17,2024-07-10,2817080,1,Sold
83,"935 Church Lane, Bishopscourt",Cape Town,Western Cape,House,3,2,4,154,465,3616730,2025-07-03,,,45,Withdrawn
84,"937 Long Drive, Menlyn",Pretoria,Gauteng,House,5,2.5,4,381,1180,2900499,2025-09-19,,,13,Listed
85,"367 Station Street, Camps Bay",Cape Town,Western Cape,Townhouse,2,2,1,195,395,1833667,2025-03-27,2025-07-13,1827395,1,Sold
86,"443 Oak Road, Newton Park",Port Elizabeth,Eastern Cape,Farm,5,5,3,406,412350,4566302,2025-10-27,2026-01-30,4712711,45,Sold
87,"317 High Lane, Bellville",Cape Town,Western Cape,House,3,3,2,262,852,2330111,2024-08-01,,,39,Listed
88,"286 Jan Smuts Street, Silverton",Pretoria,Gauteng,House,4,4,3,447,626,3841369,2024-10-16,,,15,Under Offer
89,"890 Main Lane, Waterkloof",Pretoria,Gauteng,Townhouse,3,2.5,2,119,169,2553481,2024-04-14,,,42,Under Offer
90,"434 Market Drive, Bishopscourt",Cape Town,Western Cape,Townhouse,2,1.5,1,174,339,3712213,2024-10-15,,,18,Under Offer
91,"583 Market Road, Melrose",Johannesburg,Gauteng,Townhouse,4,2,1,102,366,3292550,2025-05-14,,,30,Withdrawn
92,"64 Long Lane, Waterfront",Cape Town,Western Cape,House,5,4,3,326,773,3846633,2024-03-31,2024-06-07,3510667,27,Sold
93,"324 Station Road, Berea",Durban,KwaZulu-Natal,House,3,2,4,406,628,2526563,2025-04-01,2025-08-08,2605595,5,Sold
94,"7 Long Road, Brooklyn",Pretoria,Gauteng,House,4,3,3,337,605,2334287,2025-02-22,,,34,Under Offer
95,"266 Victoria Lane, Brooklyn",Pretoria,Gauteng,House,5,2,4,379,1338,2030315,2024-11-04,2025-04-22,1846380,36,Sold
96,"960 Park Street, Sunnyside",Pretoria,Gauteng,Apartment,2,2.5,2,74,0,1333232,2024-04-27,,,37,Withdrawn
97,"44 Jan Smuts Street, Phoenix",Durban,KwaZulu-Natal,Apartment,3,1,2,95,0,994208,2024-11-19,2025-03-09,1009782,16,Sold
98,"985 Church Road, Phoenix",Durban,KwaZulu-Natal,House,5,2.5,2,144,1480,1589000,2024-02-21,,,14,Under Offer
99,"265 Main Lane, Roodepoort",Johannesburg,Gauteng,Apartment,2,1.5,1,87,0,3191499,2025-03-02,,,27,Under Offer
100,"684 Beach Drive, Melrose",Johannesburg,Gauteng,Apartment,4,1.5,2,172,0,1247547,2024-09-22,2024-10-29,1306462,47,Sold
101,"86 Long Street, La Lucia",Durban,KwaZulu-Natal,Townhouse,3,1.5,2,230,211,2446964,2025-09-26,2025-12-22,2547997,49,Sold
102,"455 Church Street, Walmer",Port Elizabeth,Eastern Cape,House,5,2,4,417,559,2178488,2025-03-14,,,18,Listed
103,"49 Station Lane, Centurion",Pretoria,Gauteng,Apartment,2,2,2,184,0,2285709,2025-09-22,2026-02-15,2317971,22,Sold
104,"850 Market Avenue, Framesby",Port Elizabeth,Eastern Cape,Townhouse,4,2.5,1,233,157,1644755,2025-02-24,,,33,Listed
105,"293 Nelson Mandela Street, Phoenix",Durban,KwaZulu-Natal,Townhouse,3,2.5,2,221,243,1399847,2024-11-24,,,25,Withdrawn
106,"597 Church Avenue, Humewood",Port Elizabeth,Eastern Cape,House,3,1,2,190,1206,2416571,2023-12-25,,,11,Withdrawn
107,"351 Jan Smuts Avenue, Arcadia",Pretoria,Gauteng,House,5,3,4,214,475,2497647,2025-05-27,2025-08-28,2554988,11,Sold
108,"937 Oak Drive, Midrand",Johannesburg,Gauteng,Townhouse,3,2,1,216,189,1357245,2024-11-02,,,43,Under Offer
109,"792 Nelson Mandela Drive, Rosebank",Johannesburg,Gauteng,Townhouse,3,2,1,114,228,2780354,2024-10-05,,,27,Listed
110,"420 Nelson Mandela Road, Brooklyn",Pretoria,Gauteng,Townhouse,4,2.5,1,119,319,2645908,2024-08-15,2024-09-06,2506418,24,Sold
111,"357 High Road, Alexandra",Johannesburg,Gauteng,House,4,3,4,414,823,3014794,2024-01-28,2024-03-08,2796789,16,Sold
112,"480 Long Lane, Centurion",Pretoria,Gauteng,House,3,2.5,3,270,380,2680082,2025-04-28,,,14,Listed
113,"787 High Drive, Menlyn",Pretoria,Gauteng,House,4,2.5,2,218,953,3283067,2024-03-25,2024-05-27,3106433,29,Sold
114,"353 Long Lane, Fourways",Johannesburg,Gauteng,House,4,2,1,274,1330,4980283,2023-12-04,2024-03-30,5135269,20,Sold
115,"153 High Road, Bryanston",Johannesburg,Gauteng,House,3,3,3,183,1036,4567468,2025-09-08,,,16,Listed
116,"466 Nelson Mandela Lane, Montana",Pretoria,Gauteng,House,4,2.5,1,265,798,1993205,2025-08-23,2025-09-21,2034914,18,Sold
117,"476 Market Lane, Bellville",Cape Town,Western Cape,House,4,2.5,2,150,857,4234930,2024-11-24,2025-02-17,4126988,39,Sold
118,"198 Nelson Mandela Street, Bryanston",Johannesburg,Gauteng,Townhouse,3,2,1,174,308,3540326,2023-12-05,,,10,Listed
119,"859 Main Drive, Soweto",Johannesburg,Gauteng,Townhouse,2,3,1,100,360,2878247,2024-09-10,2025-03-01,2722440,50,Sold
120,"234 Park Lane, Parktown",Johannesburg,Gauteng,Farm,5,5,7,458,92598,7964636,2023-12-08,2024-03-22,7756053,34,Sold
121,"799 Long Avenue, Camps Bay",Cape Town,Western Cape,House,4,3,3,301,922,3821269,2025-10-25,,,13,Listed
122,"942 Station Street, Bellville",Cape Town,Western Cape,House,3,3,3,429,339,3487913,2024-01-12,,,9,Listed
123,"955 Beach Road, Glenwood",Durban,KwaZulu-Natal,Apartment,2,2,1,68,0,1899430,2025-07-12,,,11,Under Offer
124,"631 Jan Smuts Drive, Arcadia",Pretoria,Gauteng,Farm,5,3,3,245,485768,2741917,2024-10-08,,,12,Listed
125,"643 Main Avenue, Silverton",Pretoria,Gauteng,Apartment,2,1,1,189,0,1766690,2024-02-27,,,8,Listed
126,"387 Long Drive, Sunnyside",Pretoria,Gauteng,House,3,2,3,157,1412,3449908,2024-08-04,,,32,Listed
127,"105 Church Avenue, Newton Park",Port Elizabeth,Eastern Cape,Commercial,0,3,35,1972,4074,9636681,2024-04-06,,,11,Under Offer
128,"244 High Avenue, Bellville",Cape Town,Western Cape,House,3,2.5,2,342,305,5486576,2025-10-27,,,40,Listed
129,"869 Oak Road, Phoenix",Durban,KwaZulu-Natal,Apartment,3,2.5,1,130,0,1711459,2025-06-25,2025-09-15,1721741,41,Sold
130,"212 Long Road, Glenwood",Durban,KwaZulu-Natal,Townhouse,3,2.5,2,138,367,2665214,2025-02-15,2025-08-04,2725625,9,Sold
131,"404 Oak Street, Mitchell's Plain",Cape Town,Western Cape,Commercial,0,4,9,984,4576,8770485,2024-02-07,,,25,Listed
132,"961 Long Street, Midrand",Johannesburg,Gauteng,House,4,3,4,326,316,3359087,2025-08-30,2025-12-20,3108567,41,Sold
133,"763 Nelson Mandela Road, Woodstock",Cape Town,Western Cape,House,4,3,4,207,597,5763648,2024-01-21,2024-03-26,5717340,40,Sold
134,"910 Beach Road, Morningside",Durban,KwaZulu-Natal,Apartment,2,2,1,139,0,1689083,2025-07-13,,,40,Listed
135,"360 High Street, Walmer",Port Elizabeth,Eastern Cape,House,5,3,1,286,1027,3075837,2023-11-17,,,14,Under Offer
136,"572 Jan Smuts Road, Framesby",Port Elizabeth,Eastern Cape,Commercial,0,4,26,1942,1069,6067779,2025-01-06,,,18,Listed
137,"838 Victoria Drive, Menlyn",Pretoria,Gauteng,House,5,2.5,2,266,786,2474812,2024-07-15,,,42,Withdrawn
138,"393 Main Lane, Walmer",Port Elizabeth,Eastern Cape,House,5,3,3,157,1198,1811066,2024-04-23,2024-07-18,1750974,22,Sold
139,"330 Station Lane, Woodstock",Cape Town,Western Cape,Apartment,2,1,2,146,0,2439780,2024-08-24,,,37,Withdrawn
140,"892 High Drive, La Lucia",Durban,KwaZulu-Natal,Farm,6,3,5,568,496732,5763316,2024-09-05,,,1,Listed
141,"680 Market Road, Kabega Park",Port Elizabeth,Eastern Cape,Farm,3,5,5,557,80717,6095144,2024-10-31,2024-11-22,5924254,24,Sold
142,"685 Victoria Street, Sea Point",Cape Town,Western Cape,Townhouse,3,2.5,1,105,252,3162759,2024-05-08,,,41,Withdrawn
143,"751 Long Lane, Silverton",Pretoria,Gauteng,House,3,4,1,358,1016,3353229,2024-12-14,,,7,Withdrawn
144,"281 Jan Smuts Drive, Mitchell's Plain",Cape Town,Western Cape,House,5,4,2,403,339,3544478,2023-11-15,,,22,Listed
145,"727 Park Street, Lovemore Heights",Port Elizabeth,Eastern Cape,House,4,3,4,186,466,2461162,2025-10-24,,,2,Listed
146,"465 Market Street, Umlazi",Durban,KwaZulu-Natal,Apartment,3,2.5,1,100,0,1457754,2025-01-25,2025-04-07,1346247,7,Sold
147,"822 Market Drive, Melrose",Johannesburg,Gauteng,Apartment,2,2,2,140,0,1809846,2024-10-09,,,6,Listed
148,"916 Nelson Mandela Road, Newton Park",Port Elizabeth,Eastern Cape,Townhouse,3,3,1,167,324,1598241,2024-04-16,2024-09-20,1511752,35,Sold
149,"194 Long Lane, Summerstrand",Port Elizabeth,Eastern Cape,Farm,5,3,4,264,169122,2299151,2024-09-18,,,38,Under Offer
150,"39 Jan Smuts Road, Ballito",Durban,KwaZulu-Natal,Farm,4,4,5,544,422477,5936396,2025-07-29,2025-10-03,5793901,19,Sold
151,"989 Nelson Mandela Drive, Lynnwood",Pretoria,Gauteng,Apartment,3,2.5,1,68,0,2365162,2025-10-12,,,17,Listed
152,"536 Long Road, Waterkloof",Pretoria,Gauteng,Apartment,2,2,2,129,0,844008,2025-01-12,,,9,Listed
153,"454 Church Avenue, Claremont",Cape Town,Western Cape,Apartment,2,1.5,1,93,0,2258504,2025-03-25,,,26,Listed
154,"777 High Lane, Randburg",Johannesburg,Gauteng,Apartment,1,1.5,1,199,0,1830168,2025-03-18,2025-08-04,1831234,5,Sold
155,"751 Nelson Mandela Drive, Centurion",Pretoria,Gauteng,Townhouse,2,1.5,1,210,346,2820281,2024-01-31,2024-02-14,2763000,16,Sold
156,"316 Park Street, Brooklyn",Pretoria,Gauteng,House,3,2.5,2,188,1005,2086076,2025-02-02,2025-07-06,2166589,14,Sold
157,"602 Beach Road, Randburg",Johannesburg,Gauteng,Townhouse,3,2.5,2,102,264,2848122,2024-12-31,,,27,Under Offer
158,"546 Market Lane, Melrose",Johannesburg,Gauteng,Apartment,4,2,2,197,0,1840550,2023-11-13,,,9,Listed
159,"187 Victoria Street, Kabega Park",Port Elizabeth,Eastern Cape,Apartment,3,2.5,1,71,0,854891,2025-03-24,,,13,Withdrawn
160,"49 High Lane, Midrand",Johannesburg,Gauteng,House,3,1,2,361,755,4564507,2025-07-04,,,22,Listed
161,"537 Nelson Mandela Road, Woodstock",Cape Town,Western Cape,House,4,1,2,173,473,2425743,2024-07-21,,,17,Listed
162,"441 Victoria Street, Montana",Pretoria,Gauteng,Apartment,3,1.5,2,129,0,1582735,2025-06-24,,,27,Withdrawn
163,"819 High Drive, Glenwood",Durban,KwaZulu-Natal,Apartment,2,2,1,64,0,1213484,2024-04-10,2024-04-17,1111961,47,Sold
164,"462 Station Road, Morningside",Durban,KwaZulu-Natal,Townhouse,4,2.5,2,215,373,1435440,2025-08-29,,,37,Listed
165,"482 Long Road, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,2,2,1,120,0,1813517,2024-07-22,2024-08-27,1784885,37,Sold
166,"670 Market Avenue, Waterkloof",Pretoria,Gauteng,Apartment,1,2.5,2,100,0,1577149,2025-01-30,,,35,Listed
167,"585 Beach Avenue, Hatfield",Pretoria,Gauteng,Apartment,3,2,1,197,0,1724304,2025-07-24,2025-12-18,1728157,48,Sold
168,"550 High Lane, Ballito",Durban,KwaZulu-Natal,Apartment,2,1.5,2,67,0,1911624,2024-06-02,,,45,Listed
169,"81 Oak Lane, Kabega Park",Port Elizabeth,Eastern Cape,Apartment,4,1,1,162,0,1494798,2025-03-04,,,45,Listed
170,"583 Beach Street, Houghton",Johannesburg,Gauteng,House,3,2,2,240,302,5024825,2024-08-08,,,1,Listed
171,"675 Jan Smuts Lane, Umlazi",Durban,KwaZulu-Natal,Apartment,3,1.5,2,188,0,1871276,2025-03-14,,,8,Under Offer
172,"902 Victoria Road, Summerstrand",Port Elizabeth,Eastern Cape,House,3,2.5,3,353,370,2276217,2025-04-21,2025-08-25,2062810,26,Sold
173,"394 Park Avenue, Green Point",Cape Town,Western Cape,House,5,2,4,293,689,2023913,2023-11-13,,,7,Withdrawn
174,"251 Station Avenue, Ballito",Durban,KwaZulu-Natal,House,3,3,4,180,1244,3689117,2025-08-19,,,12,Under Offer
175,"969 Victoria Drive, Ballito",Durban,KwaZulu-Natal,Apartment,3,2,2,105,0,1214373,2024-04-06,2024-04-24,1251930,16,Sold
176,"89 Market Drive, Constantia",Cape Town,Western Cape,Apartment,3,1,2,142,0,2398016,2025-10-19,2026-01-03,2278989,39,Sold
177,"321 Nelson Mandela Drive, Newton Park",Port Elizabeth,Eastern Cape,Apartment,2,2.5,2,171,0,1638709,2025-03-15,,,47,Listed
178,"615 Church Road, Glenwood",Durban,KwaZulu-Natal,House,3,1,3,295,1219,2830677,2024-10-11,,,32,Listed
179,"529 Victoria Street, Menlyn",Pretoria,Gauteng,House,3,3,2,152,785,3349420,2024-05-15,,,19,Listed
180,"542 Long Lane, Walmer",Port Elizabeth,Eastern Cape,Apartment,3,2,1,128,0,1569394,2023-12-21,2024-02-02,1552223,42,Sold
181,"555 Main Drive, Observatory",Cape Town,Western Cape,House,3,2,1,229,390,3973348,2024-08-04,,,4,Listed
182,"296 Jan Smuts Road, Lovemore Heights",Port Elizabeth,Eastern Cape,House,4,1,2,218,788,2271625,2023-11-19,2024-04-07,2093114,7,Sold
183,"327 High Street, Walmer",Port Elizabeth,Eastern Cape,Apartment,1,2,2,175,0,737299,2025-01-01,,,9,Listed
184,"655 Church Drive, Phoenix",Durban,KwaZulu-Natal,Commercial,0,3,27,491,729,5693868,2025-08-13,2025-11-08,5757088,1,Sold
185,"732 Nelson Mandela Road, Umhlanga",Durban,KwaZulu-Natal,Farm,4,2,3,353,338571,4220943,2023-12-09,,,16,Under Offer
186,"57 Victoria Avenue, Montana",Pretoria,Gauteng,Apartment,2,1.5,1,173,0,2138304,2025-05-10,,,19,Withdrawn
187,"470 Church Lane, Camps Bay",Cape Town,Western Cape,House,2,2,2,183,889,4057598,2024-08-28,,,13,Listed
188,"711 High Road, Umhlanga",Durban,KwaZulu-Natal,Commercial,0,6,39,509,2527,7472736,2024-07-27,,,25,Under Offer
189,"259 Oak Road, Walmer",Port Elizabeth,Eastern Cape,House,5,2,4,150,1133,1843430,2025-06-18,,,25,Listed
190,"541 Jan Smuts Street, Glenwood",Durban,KwaZulu-Natal,House,4,2.5,3,151,530,2526535,2025-10-06,2025-12-14,2532374,33,Sold
191,"672 Park Street, Bishopscourt",Cape Town,Western Cape,House,4,2.5,3,259,684,2921881,2023-12-08,,,31,Listed
192,"667 Beach Lane, Waterkloof",Pretoria,Gauteng,Commercial,0,3,22,828,1181,12788714,2025-05-16,,,12,Listed
193,"142 Oak Avenue, Observatory",Cape Town,Western Cape,House,4,2.5,2,217,1118,3690082,2025-01-13,,,14,Withdrawn
194,"254 Jan Smuts Street, Arcadia",Pretoria,Gauteng,Townhouse,4,2,1,172,378,1356905,2024-03-09,,,50,Listed
195,"471 Victoria Street, La Lucia",Durban,KwaZulu-Natal,Townhouse,3,2,2,169,303,2335732,2024-04-09,,,14,Under Offer
196,"296 Park Road, Mitchell's Plain",Cape Town,Western Cape,Commercial,0,6,46,1264,1771,9647648,2025-09-16,,,4,Under Offer
197,"604 Beach Avenue, Roodepoort",Johannesburg,Gauteng,Apartment,2,2.5,1,103,0,2117667,2024-08-21,,,17,Listed
198,"190 Church Lane, Brooklyn",Pretoria,Gauteng,House,4,2.5,1,374,675,2568729,2024-05-08,,,19,Listed
199,"195 Church Street, Rosebank",Johannesburg,Gauteng,House,5,2.5,2,357,824,5175325,2025-08-25,,,22,Listed
200,"586 Oak Road, Parktown",Johannesburg,Gauteng,Apartment,1,1,2,65,0,1296623,2024-02-02,,,12,Under Offer
